Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.000409, 2, 0, 0, 0, 0, 2, 1 
0.000661, 4, 0, 0, 0, 0, 2, 2 
0.026750, 4, 0, 0, 0, 0, 3, 2 
0.026750, 6, 0, 0, 0, 0, 3, 3 
0.523200, 5, 1, 0, 1, 0, 3, 3 
2.788763, 5, 1, 0, 1, 0, 4, 3 
2.792925, 7, 1, 0, 1, 0, 4, 4 
3.178753, 7, 1, 0, 1, 0, 5, 4 
3.182771, 9, 1, 0, 1, 0, 5, 5 
3.240669, 8, 2, 0, 1, 1, 5, 5 
3.275091, 8, 2, 0, 1, 1, 6, 5 
3.275091, 10, 2, 0, 1, 1, 6, 6 
3.323519, 10, 2, 0, 1, 1, 7, 6 
3.323519, 12, 2, 0, 1, 1, 7, 7 
3.879999, 11, 3, 0, 2, 1, 7, 7 
20.602609, 11, 3, 0, 2, 1, 8, 7 
20.602609, 13, 3, 0, 2, 1, 8, 8 
20.719361, 13, 3, 0, 2, 1, 9, 8 
20.791901, 15, 3, 0, 2, 1, 9, 9 
20.830929, 15, 3, 0, 2, 1, 10, 9 
20.831802, 17, 3, 0, 2, 1, 10, 10 
22.529868, 16, 4, 0, 2, 2, 10, 10 
25.011242, 15, 5, 0, 2, 3, 10, 10 
25.773719, 15, 5, 0, 2, 3, 11, 10 
25.773719, 17, 5, 0, 2, 3, 11, 11 
28.622912, 17, 5, 0, 2, 3, 12, 11 
28.622913, 19, 5, 0, 2, 3, 12, 12 
31.788828, 19, 5, 0, 2, 3, 13, 12 
31.788828, 21, 5, 0, 2, 3, 13, 13 
31.792112, 21, 5, 0, 2, 3, 14, 13 
31.792112, 23, 5, 0, 2, 3, 14, 14 
31.976416, 23, 5, 0, 2, 3, 15, 14 
31.977099, 25, 5, 0, 2, 3, 15, 15 
32.319415, 25, 5, 0, 2, 3, 16, 15 
32.319415, 27, 5, 0, 2, 3, 16, 16 
32.605930, 26, 6, 0, 2, 4, 16, 16 
33.644476, 25, 7, 0, 2, 5, 16, 16 
56.095738, 25, 7, 0, 2, 5, 17, 16 
56.095753, 27, 7, 0, 2, 5, 17, 17 
56.122977, 27, 7, 0, 2, 5, 18, 17 
56.133317, 26, 8, 0, 2, 6, 18, 17 
56.149832, 28, 8, 0, 2, 6, 18, 18 
56.769242, 28, 8, 0, 2, 6, 19, 18 
56.773670, 30, 8, 0, 2, 6, 19, 19 
57.169351, 29, 9, 0, 2, 7, 19, 19 
58.387657, 29, 9, 0, 2, 7, 20, 19 
58.387657, 31, 9, 0, 2, 7, 20, 20 
58.465798, 30, 10, 0, 3, 7, 20, 20 
58.649476, 30, 10, 0, 3, 7, 21, 20 
58.649476, 32, 10, 0, 3, 7, 21, 21 
58.811380, 32, 10, 0, 3, 7, 22, 21 
58.812260, 34, 10, 0, 3, 7, 22, 22 
58.823332, 34, 10, 0, 3, 7, 23, 22 
58.823332, 36, 10, 0, 3, 7, 23, 23 
58.899126, 35, 11, 0, 3, 8, 23, 23 
63.680335, 34, 12, 0, 3, 9, 23, 23 
83.115437, 34, 12, 0, 3, 9, 24, 23 
83.115437, 36, 12, 0, 3, 9, 24, 24 
